range [25137,27202] : 104177726
range [51552,53678] : 107349067
range [45884,59776] : 690616569
range [63200,85430] : 113567988
range [55846,83381] : 378070711
range [52349,52639] : 15288359
range [82290,82726] : 20858799
range [48651,61924] : 663889851
range [22207,39724] : 877785195
range [49590,84073] : 726006187
range [75611,83140] : 378315686
range [55224,72705] : 874802552
range [6646,86041] : 973128506
range [18273,42547] : 213474481
range [4000,84208] : 10732628
range [53,16314] : 812421355
range [14929,20821] : 293769872
range [5128,89371] : 211195293
range [33849,80214] : 320105909
range [16398,16634] : 12111050
range [54179,66456] : 612249717
range [58634,64596] : 299500368
range [85392,89142] : 185890176
range [34458,50611] : 807184947
range [26001,82063] : 807621032
range [76985,85959] : 451461522
range [51122,83028] : 597434692
range [58555,74235] : 786386488
range [52773,68327] : 777527377
range [84917,87391] : 123341344
range [75205,87881] : 632527069
range [73777,84432] : 533951981
range [36412,59612] : 157820564
range [21946,40573] : 932870877
range [61713,68318] : 330817541
range [15733,82154] : 323633719
range [31435,46049] : 732951394
range [17537,68485] : 545342810
range [50199,66774] : 828575309
range [66010,88342] : 116297715
range [45740,61284] : 774371332
range [80951,86719] : 287986333
range [86769,88703] : 95764029
range [71065,76498] : 269517709
range [33292,79710] : 324124727
range [7659,73302] : 284201818
range [63998,69802] : 293005861
range [59625,79973] : 20934781
range [61022,82104] : 58548553
range [79941,80738] : 40762078
range [51760,84279] : 627852956
range [14814,62085] : 362220791
range [5351,10216] : 243571738
range [52425,68589] : 807660743
range [1679,18026] : 817026086
range [65118,79044] : 697085967
range [17311,60016] : 132181419
range [43960,68597] : 229267127
range [37021,66369] : 467569913
range [86686,88839] : 106886055
range [12638,25263] : 630902317
range [68971,85709] : 838754931
range [40615,45268] : 233988763
range [69022,77738] : 435557699
range [45068,64135] : 949970471
range [53172,59347] : 306168164
range [21197,83770] : 129917539
range [83449,87559] : 204725171
range [46858,47278] : 20666960
range [61027,66677] : 282653431
range [3714,8960] : 261301050
range [11500,51118] : 980280022
range [59019,76266] : 865209755
range [58324,66853] : 428953994
range [36247,50786] : 725581405
range [39278,42134] : 144345631
range [27380,63722] : 816334848
range [14324,55509] : 60177572
range [73188,83311] : 506652292
range [73923,87575] : 682511620
range [78433,84976] : 327664991
range [41026,70864] : 492245831
range [73101,73483] : 18834775
range [34723,60859] : 306503697
range [74328,82020] : 387836670
range [3848,7687] : 190393586
range [8610,18985] : 520362610
range [31422,35448] : 202547741
range [38475,83104] : 233717512
range [28108,79951] : 593039522
range [51018,71002] : 2364346
range [73761,80246] : 326105644
range [18497,45547] : 353495470
range [49260,83368] : 707545858
range [38671,73794] : 756997727
range [87218,88332] : 54500075
range [12879,51565] : 933941956
range [24535,41456] : 847668017
range [49997,57109] : 355083059
range [55648,57031] : 68857983
range [70414,76785] : 316699763
range [23952,82956] : 952379018
range [78980,87694] : 436020260
range [78431,84859] : 322260521
range [25865,32521] : 331858285
range [27574,51951] : 217660860
range [55291,77474] : 108760543
range [60241,84426] : 211879671
range [56440,82378] : 301017531
range [84834,88051] : 159366405
range [15671,46666] : 549817519
range [48840,57003] : 409069005
range [18453,31178] : 635137026
range [38426,61541] : 155986804
range [49153,68307] : 959045165
range [5523,82882] : 869833282
range [85813,86732] : 45109237
range [52537,81179] : 433961777
range [63547,82414] : 947248752
range [76699,81058] : 220044376
range [25252,40436] : 760242249
range [43971,86264] : 114770923
range [27752,34935] : 359333512
range [82039,89287] : 357913161
range [14222,74182] : 998877496
range [58352,81716] : 174163276
range [5111,43412] : 916812092
range [33370,64287] : 545422787
range [39433,57689] : 911784304
range [72018,80118] : 404601940
range [70767,75827] : 251188125
range [60760,84351] : 181257640
range [40728,42491] : 88461777
range [26774,88780] : 100834406
range [2593,70982] : 420881076
range [2986,46185] : 160885543
range [6574,16835] : 515409690
range [65895,80166] : 716569211
range [1211,37349] : 804601450
range [28354,29417] : 54208529
range [64468,82535] : 907303134
range [72154,73219] : 51465845
range [53303,77651] : 217826881
range [74945,82565] : 382039963
range [47424,54974] : 377977310
range [39342,77680] : 917645789
range [41091,59713] : 928026721
range [50011,68972] : 948465223
range [67345,68650] : 64495559
range [30669,46209] : 778699664
range [61606,80541] : 950575225
range [58616,85642] : 355575302
range [55199,77514] : 115438299
range [68424,76862] : 422859078
range [21385,52877] : 575681502
range [23487,46530] : 155182425
range [53851,59478] : 278572823
range [21463,87068] : 282471743
range [23598,71994] : 423997286
range [82465,88852] : 317030811
range [48235,67774] : 977705400
range [38518,62531] : 200859622
range [43134,69665] : 325712333
range [62133,64682] : 127313901
range [50975,66565] : 779898291
range [77123,87945] : 540182004
range [32388,58382] : 298239106
range [25010,77890] : 645579489
range [33844,50545] : 835000464
range [7068,63135] : 804559661
range [73892,79577] : 285220293
range [248,41238] : 49099997
range [56544,57865] : 65053446
range [8562,54607] : 303121843
range [23682,52205] : 427054451
range [3619,11319] : 383253704
range [85992,88819] : 138591137
range [24935,49336] : 220434263
range [37734,88730] : 551746645
range [36767,51528] : 738409429
range [70347,80122] : 488864943
range [44682,51847] : 355533078
range [32571,67347] : 741485991
range [77376,80875] : 176097663
range [40803,81291] : 25859063
range [41262,61066] : 988251043
range [29484,59847] : 515547076
range [87812,89047] : 61620030
range [40136,58100] : 894805820
range [41225,58906] : 879823273
range [25192,65960] : 39279927
range [16944,25559] : 429003586
range [48073,81234] : 660266111
range [56137,59207] : 150684826
range [14887,71289] : 821518340
range [15016,21805] : 337348557
range [25559,77625] : 604856557
range [29953,31707] : 86615208
range [22357,26537] : 209750380
range [66007,80130] : 708389715
range [64232,85097] : 45641970
range [34775,61906] : 356635664
range [20622,23929] : 165050372
range [39591,70381] : 541312746
range [77858,81045] : 161374109
range [50721,82445] : 590268079
range [32074,33194] : 55551642
range [29391,45264] : 793339861
range [65666,72877] : 362580014
range [61408,71180] : 491096343
range [81622,82656] : 50423623
range [60424,73163] : 638542442
range [54339,66405] : 602291241
range [46828,69436] : 130636732
range [13984,55080] : 55856891
range [87973,88895] : 46778853
range [89011,89346] : 16286939
range [18824,58487] : 980245380
range [7320,40980] : 686463826
range [7194,11274] : 204487366
range [63600,85123] : 77607954
range [9338,85325] : 800535893
range [28155,36037] : 393845081
range [40616,58791] : 906221676
range [71733,74512] : 138944177
range [36456,66168] : 485718120
range [27073,38638] : 577649453
range [41708,78869] : 857926941
range [34426,60263] : 291196497
range [31788,69030] : 862877408
range [72822,76210] : 167935322
range [15979,86909] : 547669350
range [49504,84447] : 749780492
range [8990,56332] : 367266720
range [71950,73143] : 58580880
range [84146,86928] : 139436999
range [77110,88890] : 588796265
range [66857,68333] : 74225364
range [75299,82675] : 369949152
range [72613,84131] : 575180193
range [70449,76041] : 277973766
range [81180,87817] : 329285403
range [77075,80421] : 169050613
range [2496,19542] : 851770597
range [6210,76614] : 522358417
range [24153,55007] : 544956527
range [80261,86071] : 291201617
range [67714,78998] : 564129322
range [75939,84328] : 420340123
range [77835,78605] : 38334754
range [21878,29272] : 373616618
range [40063,77426] : 868389030
range [83948,88589] : 231447225
range [68241,73188] : 248887204
range [43773,75988] : 610038131
range [4651,58969] : 713603804
range [63194,85114] : 97727010
range [30758,48702] : 895942167
range [40718,50002] : 463244754
range [5183,75426] : 513162690
range [13180,70293] : 857972282
range [6531,48799] : 113843220
range [53374,65080] : 583627593
range [17813,80607] : 141323724
range [9953,12086] : 106494791
range [32531,82926] : 523869311
range [78017,86811] : 440991769
range [33137,84406] : 566669945
range [7831,26777] : 948228116
range [64611,77892] : 665311539
range [84491,89161] : 231606265
range [89187,89291] : 5044875
range [55104,59739] : 229129919
range [78297,79900] : 81449111
range [6480,7041] : 27974203
range [72452,79843] : 368834244
range [34496,44689] : 511930232
range [10927,44279] : 670161260
range [60580,78081] : 875559618
range [22499,67290] : 241498296
range [85405,88052] : 130825827
range [64113,85744] : 85781552
range [20638,85867] : 265486222
range [66971,75563] : 429656098
range [41162,49302] : 403951953
range [44744,59701] : 744958613
range [41847,87022] : 259783682
range [63011,80640] : 885007820
range [17137,63708] : 326978457
range [43762,83667] : 994634237
range [42021,63399] : 66843046
range [62883,83043] : 10437976
range [60995,76791] : 791160285
range [27123,50117] : 149967307
range [33315,87510] : 712509218
range [20223,49382] : 457548613
range [66543,69685] : 158415503
range [62874,67505] : 232605731
range [50379,80229] : 495989425
range [50911,82017] : 560114837
range [24625,69053] : 223868448
range [72419,78258] : 289695874
range [72511,87392] : 742516835
range [51095,83663] : 630632804
range [27514,40035] : 627220041
range [75089,84506] : 470911041
range [10924,47073] : 807931097
range [34258,37642] : 167885169
range [54921,69273] : 717497329
range [76661,87777] : 555732754
range [44984,56753] : 586058742
range [64942,88122] : 160177094
range [84743,86422] : 85524401
range [7893,82598] : 739633916
range [71902,78669] : 335717714
range [41916,44348] : 122734351
range [12204,82231] : 507032407
range [9367,51130] : 87757702
range [52959,62493] : 475496522
range [6881,57085] : 510956095
range [34900,60692] : 289992086
range [58974,77723] : 941031800
range [2151,10903] : 436141771
range [24661,29675] : 253407670
range [81835,85481] : 180820364
range [13818,79294] : 274862496
range [49801,77844] : 403333337
range [49219,56559] : 366883527
range [4734,5390] : 32770703
range [71733,81534] : 492007298
range [51908,53625] : 87577381
range [63433,67903] : 225176293
range [16364,51527] : 757139634
range [65289,81974] : 838690968
range [76691,77034] : 17417230
range [56220,72709] : 826030504
range [69580,86052] : 826136790
range [5711,40462] : 738397173
range [4301,49138] : 240365117
range [78002,82818] : 243122190
range [72278,79573] : 363677735
range [20966,21925] : 47203514
range [7697,68141] : 24300203
range [49538,66335] : 840380022
range [11485,34349] : 143814140
range [49938,63506] : 677945477
range [51862,53269] : 71860445
range [37641,38914] : 64714435
range [38798,47309] : 426419356
range [66296,77601] : 567053262
range [6905,9156] : 113148211
range [43224,44287] : 53871726
range [54576,73601] : 951773837
range [82904,86322] : 171864853
range [53346,88109] : 738044375
range [32128,76202] : 205634773
range [35749,57716] : 96166431
range [69309,80846] : 578208249
range [71192,83986] : 638902719
range [48046,86417] : 921305148
range [44446,67525] : 152924109
range [73661,85638] : 601237936
range [34468,58444] : 197282098
range [27227,55509] : 414946782
range [53170,53358] : 9659411
range [88747,88930] : 8882136
range [24316,28831] : 227154031
range [87814,88330] : 25266110
range [27091,56409] : 465332606
range [61760,75359] : 681203545
range [29263,42995] : 685985759
range [13069,15513] : 123323468
range [77078,83230] : 308754251
range [29782,44599] : 741501926
range [84236,87175] : 146909505
range [64300,79322] : 753949448
